ABAB,abcxyxabcxyx
ABBCB,jhbehgijjeahibbhbgc
ACAAB,effgjhjdjecacaef
CACBC,ecgbjegcdchggd
CABAB,cifdjfgadadgfgfdd
CACBC,gdgfccfc
ACABC,jhjcdidicbiec
BACBC,iaiifghchiiiecadhe
CABAB,jhbhbcf
CACCB,bfifcbjeehibcdh
ACBAB,gbbcfibabdiddge
ABBBC,hadhdefcccbebdihbb
ABCBAB,bcjciigbjjcei
CABCB,ihggcggjeabicg
ABCCA,ceghcbbhjejjj
ACBCB,gcaaegbbgcgeefeefe
BCAAC,bghgfcdeggbbcbiddc
CBCCA,fiehgfahhabb
BABBAC,eieechiajjgjagaaee
CBCCA,bdcibgfehifdbbjab
CACABA,gdgeciacdiiehfdab
CABBA,ibhjjabj
CABAA,hhdfhgjheh
BCABB,jfiiabhdchdidj
BACBC,hhaibejhgjgjfcdedi
BCABCBB,dhbagbafhhghbdg
BACBC,ejfdegjbjjijj
ABCBB,ceehjjbjjfafijfb
BAAAC,iieeghdhbaijccc
CABAB,hcfghgihahgid
BACBBC,gjdgfgfefjjdbb
CBCAB,fgfjgbddgiaaicaj
BAACC,jbaeaahcgdaafcd
CBAAAB,ifgbeeeehg
BACBAB,agacidajdcigcaahj
BCBAB,hcjdchbiadh
BACBC,ahhbaga
BCACBC,fdaibcffddaf
BACBC,cdfidjhefchj
ABACA,fbjjiidhbadbfj
CBAAB,ccddhfgbjbgadeggfa
ACCCB,dafgcccddgaihebc
CABAB,bhiiegbchchag
BACABA,ibeaaedejdibdaea
CACCB,babeiffaebeii
ACBAAC,iihcffibafbjcidjbi
BAACBCB,haabhdgd
